Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3983693019.566,210.27507019043,4999.84521484375,-2.58255186070796E-5,5.82865476476607E-7,1,2.99776006220938,40.0298881530762,1.99922739995599,18.7299996614456,-0.000260829894994894,-4.81514146829366E-5,0.25,-2.83903919001968E-7,-2.58883983016688E-5,-3.10905175259004E-7,210.051254272461,210.051254272461,4999.83935546875,4999.85107421875,53.4125848616403,20.5737218774934,1.55576980113983,0,0,0,120,228.829467773438,6,4,3,2.24044799804687,44.9657897949219,,,,,,,,,,,,,,,,
,3983693022.5725,210.716247558594,4999.83911132812,-2.58859786214205E-5,5.40867299464327E-7,1,2.99776006220938,40.0298881530762,1.99926223683243,18.7299996614456,-0.00026099774637999,-5.08277475448412E-5,0.25,-5.37956628477402E-7,-2.59484529496306E-5,-5.65566617754099E-7,210.498886108398,210.498886108398,4999.8271484375,4999.85107421875,53.6658325018711,20.5747775841766,1.55606818199158,0,0,0,120,229.284408569336,6,4,3,2.23800659179687,48.3870964050293,,,,,,,,,,,,,,,,
,3983693025.569,211.131484985352,4999.83935546875,-2.5830775044714E-5,5.45690519121097E-7,1,2.99776006220938,40.0298881530762,1.99927366940268,18.7299996614456,-0.000261244296147392,-4.60756458130036E-5,0.25,-7.79881935048649E-8,-2.58933043057967E-5,-1.04357794216776E-7,210.933609008789,210.933609008789,4999.83935546875,4999.83935546875,53.607991991448,20.5740269551904,1.55670726299286,0,0,0,120,229.697494506836,6,4,3,2.23876953125,47.8983383178711,,,,,,,,,,,,,,,,
,3983693028.574,211.54598236084,4999.85131835937,-2.57201896393299E-5,5.33739522461817E-7,1,2.99776006220938,40.0298881530762,1.99927666192392,18.7299996614456,-0.000259362638607534,-5.02692102934547E-5,0.25,-5.1168235836945E-7,-2.57817357489236E-5,-5.38922611015523E-7,211.329360961914,211.329360961914,4999.83935546875,4999.86328125,53.6478550459288,20.5696469580433,1.55668210983276,0,0,0,120,230.069030761719,6,4,3,2.24029541015625,47.4095802307129,,,,,,,,,,,,,,,,
,3983693031.58,211.97403717041,4999.85717773438,-2.61126133541084E-5,5.11533639833074E-7,1,2.99776006220938,40.0298881530762,1.9993043533391,18.7299996614456,-0.000263787666404764,-4.83392700719721E-5,0.25,-2.53021348247373E-7,-2.61750780344421E-5,-2.79965750069767E-7,211.762603759766,211.762603759766,4999.85107421875,4999.86328125,53.6142450196018,20.5715476359985,1.55707776546478,0,0,0,120,230.515609741211,6,4,3,2.23907470703125,48.3870964050293,,,,,,,,,,,,,,,,
,3983693034.58,212.400382995605,4999.84521484375,-2.58304147178031E-5,5.46364709511127E-7,1,2.99776006220938,40.0298881530762,1.99921560300936,18.7299996614456,-0.000260606298906439,-4.96424988708167E-5,0.25,-4.31029538711723E-7,-2.58917365800288E-5,-4.58047738197464E-7,212.185470581055,212.185470581055,4999.83935546875,4999.85107421875,53.482931428371,20.5723544488641,1.55747723579407,0,0,0,120,230.930374145508,6,4,3,2.23739624023438,47.8983383178711,,,,,,,,,,,,,,,,
,3983693037.5765,212.781158447266,4999.86352539063,-2.58553606218007E-5,5.42417895422034E-7,1,2.99776006220938,40.0298881530762,1.99919532795055,18.7299996614456,-0.000260898688653578,-4.94251575031058E-5,0.25,-4.05379886036493E-7,-2.5916512408362E-5,-4.32300580866994E-7,212.615295410156,212.615295410156,4999.83935546875,4999.8876953125,53.7869849223518,20.5713993308458,1.55779004096985,0,0,0,120,231.292282104492,6,4,3,2.24136352539062,47.8983383178711,,,,,,,,,,,,,,,,
,3983693040.561,213.160125732422,4999.80297851562,-2.55482009026134E-5,5.10516360997143E-7,1,2.99776006220938,40.0298881530762,1.99915905820807,18.7299996614456,-0.00025794625647773,-4.79477620941406E-5,0.25,-3.12764933868116E-7,-2.56084626293526E-5,-3.39097627591345E-7,212.947021484375,212.947021484375,4999.71826171875,4999.8876953125,53.4712070005826,20.5740939654107,1.55796074867249,0,0,0,120,231.690002441406,6,4,3,2.2381591796875,48.3870964050293,,,,,,,,,,,,,,,,
,3983693043.5575,213.58544921875,4999.73022460937,-2.59265477699627E-5,5.34143034608867E-7,1,2.99776006220938,40.0298881530762,1.99921416240607,18.7299996614456,-0.000262041820581009,-4.70906034797507E-5,0.25,-1.6249350395552E-7,-2.59875697232198E-5,-1.88783541419987E-7,213.373229980469,213.373229980469,4999.71826171875,4999.7421875,53.0944620543133,20.5712624328048,1.55844342708588,0,0,0,120,232.03401184082,6,4,3,2.24075317382813,48.3870964050293,,,,,,,,,,,,,,,,
,3983693046.565,214.014457702637,4999.7119140625,-2.57054664133212E-5,5.48040458135219E-7,1,2.99776006220938,40.0298881530762,1.99919174061985,18.7299996614456,-0.000259359249349664,-4.92417759245537E-5,0.25,-4.13570351014775E-7,-2.57654286926904E-5,-4.40164136622012E-7,213.797668457031,213.797668457031,4999.681640625,4999.7421875,53.7822951512364,20.5726713391482,1.55910432338715,0,0,0,120,232.447525024414,6,4,3,2.2406005859375,48.8758583068848,,,,,,,,,,,,,,,,
