Magnetic Field (Oe)	Moment (emu)
-1491.496826	-0.000260826
-1480.94104	-0.000261059
-1470.975769	-0.000260306
-1461.427551	-0.000260703
-1451.503296	-0.000260661
-1440.949158	-0.000261308
-1430.97699	-0.000260578
-1421.475159	-0.000260523
-1411.413696	-0.000261305
-1401.497986	-0.000260927
-1391.444458	-0.000260485
-1381.467041	-0.000260964
-1370.989136	-0.000260935
-1361.488037	-0.000260406
-1351.53241	-0.000260367
-1341.492676	-0.000260815
-1331.505127	-0.000260679
-1321.992859	-0.0002604
-1311.493042	-0.000259781
-1301.979919	-0.000260322
-1291.485535	-0.000260224
-1281.46405	-0.000260922
-1271.451965	-0.000260155
-1261.999329	-0.000259898
-1250.924805	-0.000260073
-1241.393494	-0.000260307
-1231.436035	-0.000260138
-1221.930603	-0.000259997
-1211.572998	-0.000260189
-1201.422546	-0.000260374
-1191.547241	-0.000259618
-1181.511963	-0.000259664
-1171.481812	-0.00026064
-1161.442993	-0.000259515
-1151.501099	-0.000259872
-1141.541931	-0.000259464
-1131.469543	-0.000259623
-1121.934692	-0.000260143
-1111.985718	-0.00025978
-1102.091431	-0.000259705
-1092.106201	-0.000259656
-1081.567566	-0.000259229
-1072.015503	-0.000258771
-1061.586975	-0.000259681
-1052.058228	-0.000258966
-1041.543152	-0.000259735
-1031.516785	-0.000259699
-1021.598633	-0.000259118
-1012.050812	-0.000259245
-1002.045807	-0.000258721
-992.0857849	-0.000258898
-982.083313	-0.00025919
-972.0920715	-0.000258737
-962.140686	-0.000258953
-952.1633301	-0.000258403
-942.0993958	-0.000258355
-931.0655518	-0.000258325
-921.9906311	-0.000258362
-912.0219116	-0.000258536
-901.5708313	-0.000257965
-892.166626	-0.000257815
-882.2644348	-0.000258358
-872.3147278	-0.000257963
-862.3347473	-0.000258123
-851.7391357	-0.000258078
-841.7444763	-0.00025777
-832.34552	-0.000257815
-822.8399963	-0.000257886
-812.2858276	-0.000257672
-802.3034973	-0.000257725
-792.301239	-0.000256805
-782.2734375	-0.0002571
-771.7720947	-0.000256829
-762.3268127	-0.000256515
-752.3554993	-0.000256698
-741.744812	-0.000256522
-732.2835693	-0.000256715
-722.7617493	-0.000256807
-712.2673645	-0.000256073
-702.1892395	-0.000256281
-692.1902466	-0.000256049
-682.2539368	-0.00025598
-672.3293152	-0.000255978
-662.4219666	-0.000255742
-652.3987122	-0.000255225
-642.3105164	-0.000255374
-631.8749695	-0.000255541
-622.2666626	-0.000255507
-612.2537842	-0.000254636
-602.3023987	-0.000254936
-592.8169861	-0.000255153
-582.8109741	-0.00025445
-571.2514954	-0.000254414
-561.7867737	-0.000253946
-551.7669678	-0.000253859
-541.8761292	-0.000254015
-531.8641663	-0.000253945
-522.8472595	-0.000253701
-512.3944702	-0.000253179
-502.3729858	-0.000253018
-491.8049927	-0.000253021
-482.8278656	-0.000252761
-473.3683167	-0.000252743
-462.3292694	-0.000252623
-452.3951569	-0.000252364
-442.3866272	-0.00025172
-432.3330994	-0.000251886
-422.3003387	-0.000251116
-412.7828827	-0.000251488
-402.8340302	-0.000251029
-392.3552856	-0.000250834
-382.8516083	-0.000249836
-372.7149811	-0.000249634
-363.2754059	-0.000249582
-352.7879333	-0.000249351
-342.3074036	-0.000249322
-332.3334656	-0.000249045
-322.8687897	-0.000248467
-312.8048859	-0.000247732
-302.7660522	-0.00024754
-292.806839	-0.000247732
-282.3332367	-0.00024712
-272.3177795	-0.000245614
-262.8323212	-0.000246272
-252.8177414	-0.000245667
-242.826561	-0.000245403
-232.8594818	-0.000244861
-221.9960175	-0.000244343
-212.4421997	-0.000243668
-202.9368134	-0.000242955
-192.4476929	-0.0002427
-182.931076	-0.000241744
-172.9622803	-0.000241903
-162.428299	-0.000240527
-152.4232101	-0.000240073
-142.8873901	-0.00023921
-132.8831711	-0.000239236
-123.3968353	-0.000237405
-112.9136772	-0.000237028
-102.8636322	-0.000235386
-93.42488098	-0.000235564
-82.95297623	-0.000233869
-72.90726089	-0.000232625
-62.87709618	-0.000230891
-52.51255417	-0.000229477
-42.47633553	-0.000227392
-32.93028545	-0.000225325
-23.41713333	-0.000222316
-13.41119623	-0.000217323
-3.349908829	-0.000209513
7.038909078	-0.000189344
16.5953207	-0.000136511
26.55925751	-6.56E-05
37.12067032	-1.90E-05
47.65227509	2.72E-06
57.11699104	1.38E-05
66.5617485	2.11E-05
76.57372284	2.61E-05
86.6316185	3.16E-05
96.66617966	3.52E-05
106.6167259	4.00E-05
117.0548744	4.47E-05
126.6320534	5.04E-05
137.1281586	5.71E-05
147.1332169	6.67E-05
157.0586548	8.14E-05
166.5346069	0.000117025
176.6016922	0.000186965
186.602417	0.000226733
196.6337357	0.000235719
206.5670166	0.0002385
216.5496216	0.000240403
226.5521011	0.000241136
236.5173264	0.000242249
246.5059433	0.00024285
256.5144653	0.000243343
267.0615997	0.000244116
277.0961151	0.000244342
286.5513	0.000244995
296.4980316	0.000245106
307.1225281	0.000245453
317.0869904	0.000246934
326.4825134	0.000246872
336.8885345	0.000247507
346.9429474	0.000247951
356.5089569	0.000247462
366.4915161	0.000247579
376.4247437	0.00024855
386.4704742	0.000248585
396.550827	0.000248687
406.5066071	0.000249575
416.5056152	0.000248941
426.5366364	0.000250266
436.967865	0.000249793
446.9740143	0.000250414
456.4854431	0.000250571
466.4971771	0.000250337
476.5212708	0.000251605
486.5847931	0.000251687
496.5742493	0.000252203
506.5312347	0.000250883
517.0161438	0.000252
526.4782104	0.000252159
536.4538574	0.000252998
546.4400024	0.000252744
556.4701843	0.000252558
566.4630737	0.00025328
576.4577332	0.000253847
586.4264526	0.000253245
595.8825684	0.000253555
606.3890381	0.000254107
616.4373474	0.000253776
626.4467163	0.000254636
637.030304	0.000254397
646.4845276	0.000254472
656.3632813	0.000254592
666.870636	0.000254351
675.9092102	0.000255278
686.4287109	0.000255123
696.4190674	0.000255228
705.9131775	0.000255203
716.3902588	0.000255267
726.4334106	0.000255345
736.9196472	0.000255277
746.4356689	0.000255818
756.4545288	0.000255448
766.3480225	0.000255648
776.2796326	0.000255519
786.3012085	0.000255978
795.809967	0.000255875
806.3276672	0.00025648
816.3085938	0.000256397
826.3153687	0.000256653
836.8669128	0.000256614
845.8648071	0.000256408
856.309845	0.000256912
865.7953186	0.000257046
875.163147	0.000257148
886.6915894	0.000256699
896.1615601	0.000257778
