Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3984759657.187,281.142852783203,0.193651951849461,7.83944550798276E-7,2.14394630633717E-7,1,2.99776006220938,40.0298881530762,1.99820485538425,21.5799994766712,8.82487868650165E-6,-3.89843330742511E-6,0.25,-5.21764312083798E-7,7.84712456568026E-7,-5.21463370507915E-7,280.998962402344,280.998962402344,0.181548699736595,0.205755203962326,53.482931428371,20.5349577573315,1.86378931999207,0,0,0,120,296.585876464844,6,4,3,2.23846435546875,48.3870964050293,,,,,,,,,,,,,,,,
,3984759660.159,281.448699951172,0.175497077405453,3.24472339871632E-7,2.18374717425096E-7,1,2.99776006220938,40.0298881530762,1.99821111323523,21.5799994766712,4.32969158613219E-6,-5.52856220416144E-6,0.25,-6.03778019960215E-7,3.25065201207138E-7,-6.03843152262012E-7,281.286743164062,281.286743164062,0.16944545507431,0.181548699736595,52.9740912623518,20.5372393909144,1.86508679389954,0,0,0,120,296.879333496094,6,4,3,2.2406005859375,49.364616394043,,,,,,,,,,,,,,,,
,3984759663.0115,281.756729125977,0.193651951849461,9.29997322939521E-7,2.14006664637983E-7,1,2.99776006220938,40.0298881530762,1.99823142781066,21.5799994766712,1.01384850283755E-5,-2.71407913223703E-6,0.25,-4.297030415523E-7,9.30755509201295E-7,-4.29245368612381E-7,281.610656738281,281.610656738281,0.181548699736595,0.205755203962326,53.1906023621787,20.5355009196907,1.86630284786224,0,0,0,120,297.214111328125,6,4,3,2.23739624023438,48.3870964050293,,,,,,,,,,,,,,,,
,3984759666.077,282.041885375977,0.205755189061165,1.98228492603222E-7,2.1480067736343E-7,1,2.99776006220938,40.0298881530762,1.99822749057402,21.5799994766712,2.92695458918204E-6,-5.0072297177163E-6,0.25,-5.30304266055014E-7,1.9870214432416E-7,-5.30415152183318E-7,281.902801513672,281.902801513672,0.19365194439888,0.21785843372345,53.0069196601595,20.5368754893846,1.86742556095123,0,0,0,120,297.507385253906,6,4,3,2.23678588867187,47.4095802307129,,,,,,,,,,,,,,,,
,3984759668.988,282.407989501953,0.157342202961445,5.27588400243522E-7,2.4780574559033E-7,1,2.99776006220938,40.0298881530762,1.99823774793711,21.5799994766712,6.39913101776704E-6,-5.28436421126275E-6,0.25,-6.14723449314137E-7,5.28273190229653E-7,-6.14633267568547E-7,282.275146484375,282.275146484375,0.133135706186295,0.181548699736595,53.2031084184864,20.5360918719828,1.86843478679657,0,0,0,120,297.841522216797,6,4,3,2.23861694335938,47.4095802307129,,,,,,,,,,,,,,,,
,3984759672.003,282.726608276367,0.199703566730022,4.78699686498129E-7,2.24974829529933E-7,1,2.99776006220938,40.0298881530762,1.99828206156188,21.5799994766712,5.9596751151554E-6,-5.6820042944679E-6,0.25,-6.45651413039095E-7,4.79378843488844E-7,-6.45605208675858E-7,282.540832519531,282.540832519531,0.181548699736595,0.21785843372345,52.9858156901402,20.5372036540371,1.86927974224091,0,0,0,120,298.133819580078,6,4,3,2.2393798828125,48.3870964050293,,,,,,,,,,,,,,,,
,3984759675.087,283.060531616211,0.193651951849461,5.94037332355543E-7,2.0915902426141E-7,1,2.99776006220938,40.0298881530762,1.99811217885392,21.5799994766712,7.01048174614553E-6,-4.82755599089786E-6,0.25,-5.80999915767785E-7,5.94716924477243E-7,-5.80837049552814E-7,282.912384033203,282.912384033203,0.181548699736595,0.205755203962326,52.9170323804479,20.5364678974904,1.86980962753296,0,0,0,120,298.488372802734,6,4,3,2.237548828125,46.9208221435547,,,,,,,,,,,,,,,,
,3984759677.9735,283.357147216797,0.181548699736595,6.36689040718982E-7,2.08610429350969E-7,1,2.99776006220938,40.0298881530762,1.99834984802693,21.5799994766712,7.95140048443818E-6,-7.7002408570228E-6,0.25,-8.72890007564415E-7,6.37589438344349E-7,-8.72820702309354E-7,283.208679199219,283.208679199219,0.181548699736595,0.181548699736595,53.1835677055056,20.5350064916851,1.87046635150909,0,0,0,120,298.7568359375,6,4,3,2.2393798828125,48.3870964050293,,,,,,,,,,,,,,,,
,3984759681.0055,283.686828613281,0.187600322067738,6.65252959929566E-7,2.33788124812053E-7,1,2.99776006220938,40.0298881530762,1.99821659502192,21.5799994766712,7.88279556090202E-6,-5.58936447275064E-6,0.25,-6.68769092304654E-7,6.66013900292197E-7,-6.68584247250363E-7,283.505615234375,283.505615234375,0.181548699736595,0.19365194439888,53.2093614466402,20.5356127849284,1.8705815076828,0,0,0,120,299.113128662109,6,4,3,2.23861694335938,48.8758583068848,,,,,,,,,,,,,,,,
,3984759684.059,284.034332275391,0.19365194439888,5.27284406920622E-7,2.25888116707143E-7,1,2.99776006220938,40.0298881530762,1.99822276324367,21.5799994766712,6.18677733430091E-6,-4.07664594240481E-6,0.25,-4.950511664353E-7,5.27856977271349E-7,-4.94885294621716E-7,283.868041992187,283.868041992187,0.19365194439888,0.19365194439888,53.0123910597941,20.5366598105545,1.87092900276184,0,0,0,120,299.468078613281,6,4,3,2.23983764648438,48.8758583068848,,,,,,,,,,,,,,,,
