Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
10.00071239	-913.1172791	-0.000211187	3.92E-07
10.00059748	-923.6990051	-0.00021142	4.28E-07
10.00041962	-933.2541809	-0.000211557	3.93E-07
10.0002389	-943.1722412	-0.000211724	4.30E-07
10.00008821	-953.7211304	-0.000211493	3.91E-07
9.999866486	-963.1910095	-0.00021179	4.44E-07
9.99955225	-973.0212097	-0.00021172	4.40E-07
9.999452591	-983.8257446	-0.000211938	3.96E-07
9.99969101	-993.1813965	-0.000212009	4.49E-07
9.999901295	-1003.165436	-0.000211867	3.74E-07
9.99998045	-1013.159241	-0.000212159	4.55E-07
10.00001335	-1023.197083	-0.000212358	3.56E-07
10.00012255	-1033.665894	-0.000212028	4.24E-07
10.00029135	-1043.291199	-0.000212496	4.40E-07
10.00031471	-1053.248779	-0.000212253	4.15E-07
10.00046492	-1063.240723	-0.000212263	4.81E-07
10.00056601	-1073.657349	-0.000212531	4.41E-07
10.00032949	-1083.575867	-0.000212692	4.04E-07
10.00007629	-1093.105408	-0.000212504	4.10E-07
9.999861717	-1102.666199	-0.000212389	3.82E-07
9.999691486	-1113.751343	-0.000212708	5.37E-07
9.999778748	-1123.696228	-0.000212939	3.67E-07
9.99990654	-1133.60614	-0.000212725	4.03E-07
9.999979496	-1143.069458	-0.000212833	3.85E-07
9.99996233	-1152.55835	-0.000213103	3.03E-07
9.999857903	-1163.025024	-0.000212994	3.96E-07
9.999638081	-1173.001648	-0.000213091	4.19E-07
9.999445915	-1183.027466	-0.000213056	3.65E-07
9.999516487	-1193.022095	-0.000213032	4.00E-07
9.99960041	-1203.037476	-0.000213291	2.95E-07
9.999609947	-1212.59137	-0.000213091	4.69E-07
9.999545574	-1223.512756	-0.000213052	3.65E-07
9.999529839	-1233.041565	-0.000213503	3.25E-07
9.999575615	-1242.543457	-0.000213554	5.08E-07
9.999542713	-1252.543274	-0.000213593	3.51E-07
9.999526501	-1263.070557	-0.000213446	4.35E-07
9.999587536	-1273.054016	-0.000213399	3.50E-07
9.999628544	-1283.098816	-0.000213453	4.03E-07
9.999477863	-1292.557983	-0.000213429	4.32E-07
9.99940443	-1302.565552	-0.000213499	3.45E-07
9.999513149	-1313.021423	-0.000213697	4.35E-07
9.99966383	-1322.593811	-0.000213718	4.42E-07
9.999905109	-1332.670776	-0.00021388	4.16E-07
9.999981403	-1343.027954	-0.000213645	4.12E-07
10.00000954	-1353.124756	-0.000213944	3.62E-07
9.999951839	-1362.59729	-0.000213709	3.86E-07
